                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.05383,                0.66203,                0.85865,                0.94701,                0.90461,                0.95718,                0.95718,                 0.0446,                0.23728,                0.90107,               0.003268,               0.003268,               0.003268
                     70,                    inf,                0.64834,                0.85873,                0.95528,                0.90339,                0.96014,                0.96014,                0.04632,                0.22516,                0.90164,               0.003169,               0.003169,               0.003169
                     71,                0.05227,                0.64745,                 0.8584,                0.95781,                0.90285,                0.96302,                0.96302,                0.04448,                0.21905,                 0.9015,                0.00307,                0.00307,                0.00307
                     72,                0.05245,                0.64601,                   0.86,                  0.955,                0.90666,                 0.9637,                 0.9637,                0.04321,                0.21755,                0.90112,               0.002971,               0.002971,               0.002971
                     73,                0.05169,                0.64152,                0.85963,                0.94663,                0.91376,                0.96246,                0.96246,                0.04388,                0.21991,                0.90118,               0.002872,               0.002872,               0.002872
                     74,                0.05099,                0.63561,                0.85909,                0.94423,                0.91365,                0.96181,                0.96181,                0.04423,                0.22272,                0.90141,               0.002773,               0.002773,               0.002773
                     75,                0.05016,                0.63385,                0.86125,                0.94675,                0.91491,                0.96107,                0.96107,                0.04497,                0.22392,                0.90169,               0.002674,               0.002674,               0.002674
                     76,                0.05073,                0.62575,                0.85737,                0.95426,                0.90354,                 0.9628,                 0.9628,                0.04443,                0.21969,                0.90169,               0.002575,               0.002575,               0.002575
                     77,                0.04906,                 0.6126,                0.85812,                0.95794,                0.89816,                0.96399,                0.96399,                  0.042,                0.21626,                0.90106,               0.002476,               0.002476,               0.002476
                     78,                0.04842,                0.60458,                0.85983,                 0.9583,                 0.8982,                0.96393,                0.96393,                0.04075,                0.21272,                0.90091,               0.002377,               0.002377,               0.002377
                     79,                0.04787,                0.61562,                0.86143,                  0.948,                0.90485,                0.96228,                0.96228,                0.04012,                0.21066,                0.90096,               0.002278,               0.002278,               0.002278
                     80,                0.04811,                0.60462,                0.85833,                0.94597,                0.90774,                0.96341,                0.96341,                0.03985,                0.21187,                0.90094,               0.002179,               0.002179,               0.002179
                     81,                0.04668,                0.59419,                0.86068,                0.95381,                0.90145,                0.96062,                0.96062,                 0.0394,                0.21071,                0.90086,                0.00208,                0.00208,                0.00208
                     82,                 0.0458,                0.58525,                 0.8572,                0.95594,                0.89855,                0.95977,                0.95977,                0.03809,                0.20908,                0.90074,               0.001981,               0.001981,               0.001981
                     83,                 0.0451,                0.58274,                0.85562,                0.95166,                0.90641,                0.95961,                0.95961,                0.03819,                0.21075,                0.90072,               0.001882,               0.001882,               0.001882
                     84,                0.04473,                0.58922,                0.86106,                0.94789,                0.91056,                0.96001,                0.96001,                0.03796,                 0.2115,                0.90079,               0.001783,               0.001783,               0.001783
                     85,                0.04415,                 0.5873,                0.85824,                0.95836,                0.90071,                0.96074,                0.96074,                0.03799,                0.21144,                 0.9008,               0.001684,               0.001684,               0.001684
                     86,                0.04338,                0.57659,                0.85707,                0.95637,                0.90492,                0.96046,                0.96046,                 0.0381,                0.20999,                0.90081,               0.001585,               0.001585,               0.001585
                     87,                0.04302,                 0.5607,                0.85989,                0.95232,                0.90943,                0.96191,                0.96191,                0.03847,                0.20915,                0.90078,               0.001486,               0.001486,               0.001486
                     88,                0.04287,                0.55826,                 0.8581,                0.95161,                0.90826,                0.96157,                0.96157,                0.03963,                0.21136,                0.90079,               0.001387,               0.001387,               0.001387
                     89,                0.04191,                0.55882,                0.85657,                0.95218,                0.90761,                0.96106,                0.96106,                0.04006,                0.21443,                0.90074,               0.001288,               0.001288,               0.001288
                     90,                0.04145,                0.56256,                0.86083,                0.95844,                0.90375,                0.96135,                0.96135,                0.04078,                0.21571,                0.90079,               0.001189,               0.001189,               0.001189
                     91,                 0.0524,                0.09818,                0.84514,                0.95739,                0.90263,                0.96008,                0.96008,                0.04052,                0.22031,                0.90084,                0.00109,                0.00109,                0.00109
                     92,                0.04905,                0.07248,                0.83942,                0.95229,                0.90794,                0.95963,                0.95963,                0.04041,                 0.2217,                 0.9008,               0.000991,               0.000991,               0.000991
                     93,                0.04683,                0.06727,                0.83871,                0.95034,                0.90845,                0.95817,                0.95817,                0.04026,                 0.2249,                0.90076,               0.000892,               0.000892,               0.000892
                     94,                0.04564,                0.06323,                0.84271,                0.94606,                0.90998,                0.95714,                0.95714,                0.04064,                0.22822,                0.90075,               0.000793,               0.000793,               0.000793
                     95,                0.04552,                0.06209,                0.84222,                 0.9454,                0.90901,                0.95697,                0.95697,                0.04051,                0.22734,                0.90077,               0.000694,               0.000694,               0.000694
                     96,                0.04493,                0.06068,                0.84177,                0.95207,                0.90044,                 0.9566,                 0.9566,                0.04042,                0.22666,                0.90062,               0.000595,               0.000595,               0.000595
                     97,                0.04432,                0.05914,                0.84335,                0.95318,                0.89978,                0.95699,                0.95699,                0.04058,                0.22614,                0.90055,               0.000496,               0.000496,               0.000496
