                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.3064,                0.70639,                 1.0723,                0.86201,                 0.8209,                0.88527,                0.54401,                 1.3466,                0.70309,                 1.1039,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.3219,                0.71374,                 1.0807,                0.86071,                0.83003,                0.88799,                0.54052,                 1.3575,                0.70052,                 1.1074,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.3137,                0.70432,                 1.0732,                0.86447,                0.82861,                0.89096,                0.55047,                 1.3326,                0.69145,                 1.1012,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.3023,                0.70311,                 1.0767,                0.86335,                0.82478,                0.89007,                0.54575,                 1.3531,                0.69599,                 1.1099,               0.000911,               0.000911,               0.000911
                     57,                 1.3042,                0.70027,                  1.073,                0.86488,                0.82903,                0.88834,                0.54693,                 1.3394,                0.68941,                 1.1055,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.2988,                0.69375,                 1.0721,                0.86253,                0.82542,                0.88809,                 0.5548,                 1.3095,                0.68631,                 1.0971,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.2976,                0.69375,                 1.0696,                0.85878,                0.83449,                0.89016,                0.54554,                 1.3523,                0.68978,                 1.1106,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.2974,                0.69847,                 1.0702,                0.86288,                0.83414,                 0.8898,                 0.5476,                 1.3375,                0.68786,                  1.104,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.2857,                0.68312,                 1.0661,                0.85793,                0.83102,                0.88773,                0.54905,                 1.3362,                0.68864,                 1.1024,               0.000812,               0.000812,               0.000812
                     62,                 1.2865,                0.68204,                 1.0655,                0.87048,                0.82793,                0.89201,                0.55157,                 1.3257,                0.68564,                 1.1019,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.2795,                0.68333,                  1.064,                0.87114,                0.82549,                 0.8893,                 0.5537,                 1.3216,                0.67981,                 1.1042,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.2868,                0.68423,                 1.0617,                0.86486,                0.83466,                0.89081,                0.55524,                 1.3072,                 0.6847,                 1.0956,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.2839,                 0.6818,                 1.0604,                0.86807,                0.83015,                0.89032,                0.54845,                 1.3424,                0.68373,                 1.1054,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.2738,                0.67729,                 1.0618,                0.86065,                0.83442,                0.89189,                0.55187,                 1.3282,                0.67797,                 1.1014,               0.000713,               0.000713,               0.000713
                     67,                 1.2746,                0.67394,                 1.0566,                0.86761,                0.83272,                0.89297,                0.55325,                 1.3345,                0.67806,                 1.1048,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.2766,                0.67849,                 1.0581,                0.86265,                0.83603,                0.89232,                0.55639,                 1.3211,                0.67108,                 1.1021,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.2628,                0.66803,                 1.0559,                0.86806,                0.83286,                0.89221,                0.55165,                 1.3444,                0.67618,                 1.1084,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.2686,                0.66448,                 1.0581,                0.87028,                0.83027,                0.89133,                0.55687,                 1.3207,                 0.6724,                 1.1017,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.2745,                0.67104,                 1.0584,                0.86288,                0.83943,                0.89277,                0.55181,                 1.3429,                0.67244,                 1.1085,               0.000614,               0.000614,               0.000614
                     72,                 1.2595,                0.66177,                 1.0573,                 0.8674,                0.83541,                0.89402,                0.55576,                 1.3206,                0.67103,                 1.0989,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.2733,                0.67241,                 1.0589,                0.86812,                0.83146,                0.89192,                0.55597,                 1.3207,                0.66843,                 1.1043,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.2597,                0.65874,                 1.0561,                0.86608,                0.83703,                 0.8921,                 0.5513,                 1.3373,                0.67089,                 1.1064,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.2626,                0.66176,                 1.0556,                0.86272,                  0.841,                0.89308,                 0.5531,                 1.3325,                0.66801,                 1.1077,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.2453,                0.65063,                 1.0507,                0.86914,                 0.8364,                0.89471,                0.55637,                  1.318,                 0.6665,                 1.1034,               0.000515,               0.000515,               0.000515
                     77,                  1.259,                0.65727,                  1.054,                0.86823,                 0.8391,                0.89434,                0.55244,                 1.3459,                0.66831,                 1.1109,              0.0004952,              0.0004952,              0.0004952
                     78,                  1.253,                0.65086,                 1.0493,                0.86283,                0.83881,                0.89297,                0.55522,                 1.3238,                0.66596,                 1.1064,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.2537,                 0.6556,                 1.0509,                0.86442,                0.83811,                0.89053,                0.54872,                 1.3453,                0.66952,                 1.1115,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.2531,                0.64977,                 1.0492,                0.86374,                 0.8408,                0.89093,                0.55153,                 1.3369,                0.66873,                 1.1094,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.2467,                0.64591,                 1.0473,                 0.8655,                0.83655,                0.89095,                0.54922,                  1.346,                0.66817,                 1.1131,               0.000416,               0.000416,               0.000416
                     82,                 1.2492,                0.64345,                 1.0465,                0.86211,                0.84286,                0.89213,                0.55358,                 1.3305,                 0.6644,                  1.106,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.2376,                0.64099,                  1.047,                0.86901,                0.83867,                0.89079,                0.55344,                 1.3284,                0.66215,                  1.105,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.2354,                 0.6342,                 1.0441,                0.86305,                0.84434,                 0.8925,                0.55443,                 1.3285,                0.66563,                 1.1049,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.2368,                0.63695,                 1.0436,                 0.8613,                0.84421,                0.89089,                0.55254,                 1.3338,                0.66601,                 1.1061,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.2346,                0.63782,                  1.042,                0.86278,                0.84208,                0.89078,                0.55017,                 1.3422,                0.66895,                 1.1075,               0.000317,               0.000317,               0.000317
                     87,                 1.2329,                0.63484,                 1.0409,                0.86428,                0.83867,                 0.8901,                0.55316,                 1.3254,                0.66515,                 1.1032,              0.0002972,              0.0002972,              0.0002972
                     88,                  1.222,                0.62334,                 1.0392,                0.85852,                0.84449,                 0.8902,                0.55187,                 1.3352,                0.66464,                 1.1068,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.2362,                0.63233,                 1.0413,                0.86166,                0.84412,                0.89065,                0.55446,                 1.3305,                0.66246,                 1.1058,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.2208,                0.62413,                 1.0348,                0.86003,                0.84363,                0.89023,                0.55265,                 1.3333,                0.66244,                 1.1086,              0.0002378,              0.0002378,              0.0002378
